date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:46:26	2102/2102	---MCZ	404	error ('Not%20Found')	text/html	etag:%22h1eayn02re6es%22	https://finbiz-nextjs.netlify.app/robots.txt		(from )
21:46:27	56843/56843	---MCZ	200	added ('OK')	text/html	etag:%2283jytz93n317ud%22	https://finbiz-nextjs.netlify.app/?storefront=envato-elements	E:/Copy%20Website/finbiz/finbiz-nextjs.netlify.app/index04b9.html	(from )
21:46:28	17557/17557	---MCZ	200	added ('OK')	image/svg+xml	etag:%2251b9c50032939f83ca78b8988eef0968-ssl-df%22	https://finbiz-nextjs.netlify.app/assets/images/logo/logo-1.svg	E:/Copy%20Website/finbiz/finbiz-nextjs.netlify.app/assets/images/logo/logo-1.svg	(from https://finbiz-nextjs.netlify.app/?storefront=envato-elements)
21:46:29	162/162	---M--	200	added ('OK')	image/png	etag:%224c0cb4126ae4a706e3e74bd4277539ad-ssl%22	https://finbiz-nextjs.netlify.app/assets/images/icon/menu.png	E:/Copy%20Website/finbiz/finbiz-nextjs.netlify.app/assets/images/icon/menu.png	(from https://finbiz-nextjs.netlify.app/?storefront=envato-elements)
21:46:29	151/151	---M--	200	added ('OK')	image/png	etag:%225be4f050c5502a43c5545fa61fd02948-ssl%22	https://finbiz-nextjs.netlify.app/assets/images/icon/menu-light.png	E:/Copy%20Website/finbiz/finbiz-nextjs.netlify.app/assets/images/icon/menu-light.png	(from https://finbiz-nextjs.netlify.app/?storefront=envato-elements)
21:46:31	17528/17528	---MCZ	200	added ('OK')	image/svg+xml	etag:%223a74da3fcb12bacd62b4b644ba2be955-ssl-df%22	https://finbiz-nextjs.netlify.app/assets/images/logo/logo-4.svg	E:/Copy%20Website/finbiz/finbiz-nextjs.netlify.app/assets/images/logo/logo-4.svg	(from https://finbiz-nextjs.netlify.app/?storefront=envato-elements)
21:46:32	17575/17575	---MCZ	200	added ('OK')	image/svg+xml	etag:%223b2299647a1df72a237257f609212a89-ssl-df%22	https://finbiz-nextjs.netlify.app/assets/images/logo/logo-3.svg	E:/Copy%20Website/finbiz/finbiz-nextjs.netlify.app/assets/images/logo/logo-3.svg	(from https://finbiz-nextjs.netlify.app/?storefront=envato-elements)
21:46:33	17605/17605	---MCZ	200	added ('OK')	image/svg+xml	etag:%228870139d2ae919abc293ac5872719e4d-ssl-df%22	https://finbiz-nextjs.netlify.app/assets/images/logo/logo-5.svg	E:/Copy%20Website/finbiz/finbiz-nextjs.netlify.app/assets/images/logo/logo-5.svg	(from https://finbiz-nextjs.netlify.app/?storefront=envato-elements)
21:46:33	7620/7620	---M--	200	added ('OK')	image/png	etag:%22db0456983f5c09ac5ff87ed35864024d-ssl%22	https://finbiz-nextjs.netlify.app/assets/images/banner/shape/01.png	E:/Copy%20Website/finbiz/finbiz-nextjs.netlify.app/assets/images/banner/shape/01.png	(from https://finbiz-nextjs.netlify.app/?storefront=envato-elements)
21:46:34	2123/2123	---M--	200	added ('OK')	image/png	etag:%229de45b372be24b5d8cdd918e92edc825-ssl%22	https://finbiz-nextjs.netlify.app/assets/images/banner/shape/02.png	E:/Copy%20Website/finbiz/finbiz-nextjs.netlify.app/assets/images/banner/shape/02.png	(from https://finbiz-nextjs.netlify.app/?storefront=envato-elements)
